rowIndex,ClaimAmounts
0,208.68054384105398
1,410.89951323239126
2,736.629390132794
3,451.056012617588
4,201.9370082666524
5,447.4420326731287
6,516.4121777013502
7,493.86487580820994
8,339.74495647001197
9,577.2715075579346
10,551.089999947473
11,68.8901742709212
12,758.6006513862026
13,251.21160890450824
14,416.8307232491783
15,922.1701432356833
16,267.48448030475157
17,450.4558575826318
18,126.06688439151661
19,113.32829340819038
20,266.7453008019452
21,592.9131214672037
22,314.14278676032484
23,397.0960389592551
24,789.2053874318302
25,691.8378204689886
26,528.1997199047009
27,80.4341100224128
28,396.00701891644997
29,144.50747636473946
30,140.47931826440896
31,391.7763849225702
32,423.5459884356697
33,391.1166343143691
34,339.29227933278867
35,166.97562215512215
36,473.6547777056286
37,332.1638378134718
38,420.5005812169014
39,572.509371039107
40,869.5938391790501
41,284.6668458303406
42,576.692005611024
43,472.03095222795923
44,128.366358434677
45,856.2303435968323
46,583.2815822053223
47,632.1419187657132
48,546.6573434607617
49,670.4629567123379
50,270.13095024675596
51,326.37234538981505
52,106.82053572320623
53,129.25196391135933
54,417.373653995451
55,533.127236442631
56,-42.66609542544655
57,359.16501811255245
58,167.5333685581321
59,400.92911361397944
60,367.57420724038735
61,375.984434046839
62,539.2473771080774
63,539.7017828793624
64,162.2941216174475
65,49.79413246403047
66,95.43714302120142
67,643.9812384081926
68,320.22659534403954
69,825.2076483504343
70,536.740376368342
71,364.63097651241037
72,633.1129658709467
73,815.2414083519296
74,390.46967485650754
75,480.446347656232
76,294.87132954036224
77,281.54786961274465
78,196.24684634995182
79,202.6642323097198
80,654.7478953352642
81,502.02654086469914
82,-212.83945474795433
83,396.49147919953435
84,626.139778479756
85,331.49683968143637
86,505.8373128046052
87,726.9285515004642
88,361.30239099263815
89,779.498805165806
90,309.5874146002198
91,822.1365961940772
92,243.2111680617461
93,545.1506364777762
94,265.48528442493694
95,282.6580409527507
96,741.210110690679
97,275.97421291229057
98,135.7245224999693
99,487.06427722938633
100,367.9123738625693
101,356.0739564594859
102,439.6861750578231
103,311.6289729306303
104,182.5133196623326
105,558.9890567144513
106,467.9107186402441
107,350.20408146561294
108,484.90021082003193
109,148.41151426163805
110,436.8932399839441
111,4.9697922076638505
112,242.3699573874748
113,461.4580051987137
114,566.2676402801968
115,29.79646490297373
116,396.15219109007444
117,554.891862368329
118,544.2594562438263
119,644.3925472118841
120,320.42800046618476
121,289.5166734673306
122,18.251203555916923
123,513.4346398055875
124,442.7680552305714
125,466.6346470973759
126,198.87958340001117
127,192.55960396852686
128,583.1715686677961
129,114.10686892687986
130,422.7909303326647
131,464.10792262699647
132,310.17342157070186
133,489.51370659101633
134,492.92931340311435
135,421.8493773664674
136,391.05225307122413
137,315.1945619063123
138,674.3608459727159
139,463.52204131297395
140,31.40970995926034
141,277.3443991809479
142,548.4532764212471
143,451.6022451793009
144,234.46798974819905
145,489.62629440211583
146,392.8065551004529
147,341.146692515124
148,422.36885877883765
149,204.78728877843557
150,213.89038602250776
151,265.31398983866194
152,105.72469881247125
153,197.59005246017944
154,488.9204830765859
155,494.90244488251943
156,401.72070756493423
157,474.71372788875
158,262.5478928048758
159,246.6118535590204
160,278.23167988798184
161,766.9000447531772
162,704.5347060393738
163,338.22438990117917
164,792.5175692463334
165,705.9018754096562
166,347.83060190679356
167,452.86498311914045
168,235.92873975079073
169,224.33043230524407
170,315.7681297859875
171,597.3020951268861
172,240.6013063618836
173,760.8991481027164
174,365.23348409069223
175,489.58602288358645
176,227.32248592007593
177,74.41801329579101
178,309.71843071992583
179,511.7951443292704
180,934.895105856268
181,717.5111394633412
182,579.1881292734988
183,619.2700309903552
184,389.4188249674211
185,69.23170067210074
186,527.7385318930526
187,545.728616279613
188,181.81204984639663
189,627.4614658800316
190,-7.010761261395267
191,482.9124047158521
192,-53.55967236603372
193,525.8353541723706
194,810.3242970546188
195,511.091672139214
196,910.2974827847025
197,343.6432009348473
198,540.4440720883962
199,181.8032355528885
200,514.0461272142338
201,476.06792688783753
202,547.4929243235191
203,687.4600589545322
204,316.4644225305939
205,-44.31044476423759
206,770.3152942107207
207,513.1591880044539
208,348.4277429029548
209,612.0937405016942
210,539.9959803012395
211,392.07095145545395
212,273.3977071364983
213,723.06034567374
214,518.9312682970059
215,533.5623339925093
216,281.39253356950127
217,391.2266478726634
218,233.5480445034139
219,340.31543782400945
220,465.880133771704
221,547.7490746585923
222,234.70933553098524
223,338.8586198740361
224,504.3522334161238
225,500.20951186568715
226,691.8374340164552
227,299.78749768966696
228,688.2831315476008
229,622.1534565457222
230,200.76344691224435
231,453.36220546839127
232,318.35797623042265
233,562.9075616925445
234,413.78622200264874
235,549.8336522290385
236,417.0067009331426
237,406.88887967031565
238,403.0198030741272
239,402.4773959108175
240,458.19763081922736
241,8.25189511006866
242,452.29440415301696
243,748.6162045903974
244,316.4644225305939
245,368.21445908294805
246,749.1320176801568
247,606.2497406654215
248,753.3638573990218
249,518.0162330665206
250,341.0525528231628
251,542.437927802133
252,558.6103434867537
253,353.5624242432879
254,251.88689143940783
255,105.65857957945289
256,264.4956725503715
257,396.92912902468527
258,302.5817421014938
259,78.71202915916157
260,445.30354580943515
261,287.3084234921569
262,45.97047065034018
263,375.3988530246885
264,668.7818063582479
265,837.0411335633527
266,812.96543991761
267,504.94449967789086
268,400.98352996014665
269,763.1369823260135
270,414.8371281634903
271,461.1942179687942
272,440.50496729342404
273,340.26114696833645
274,722.8560746702755
275,374.1283880811866
276,428.3069443976169
277,441.4572009961301
278,343.1511826589381
279,690.4934101355063
280,274.6426870165113
281,619.2700309903552
282,398.10439448379606
283,262.13566999195666
284,213.405674135394
285,557.345109337573
286,578.3242748820829
287,464.73868182650085
288,-3.604051479912883
289,399.62470690188866
290,414.5550547911747
291,154.6188310122862
292,721.853378979965
293,623.3539736326329
